[2026-05-10 11:15:29] [CRITICAL] Possible SSH BRUTE-FORCE from ::1 - 3 failed attempts in 60s
[2026-05-10 11:16:01] [CRITICAL] Possible PORT SCAN from 127.0.0.1 - 10 connection attempts in 60s
[2026-05-10 11:16:01] [CRITICAL] Possible PORT SCAN from 127.0.0.1 - 10 connection attempts in 60s
[2026-05-10 11:16:01] [CRITICAL] Possible PORT SCAN from 127.0.0.1 - 10 connection attempts in 60s
[2026-05-10 11:16:01] [CRITICAL] Possible PORT SCAN from 127.0.0.1 - 10 connection attempts in 60s
[2026-05-10 11:16:01] [CRITICAL] Possible PORT SCAN from 127.0.0.1 - 10 connection attempts in 60s
[2026-05-10 11:16:01] [CRITICAL] Possible PORT SCAN from 127.0.0.1 - 10 connection attempts in 60s
[2026-05-10 11:16:01] [CRITICAL] Possible PORT SCAN from 127.0.0.1 - 10 connection attempts in 60s
[2026-05-10 11:16:01] [CRITICAL] Possible PORT SCAN from 127.0.0.1 - 10 connection attempts in 60s
[2026-05-10 11:16:01] [CRITICAL] Possible PORT SCAN from 127.0.0.1 - 10 connection attempts in 60s
[2026-05-10 11:16:01] [CRITICAL] Possible PORT SCAN from 127.0.0.1 - 10 connection attempts in 60s
